Product ID,Product Name,Category,Brand,SKU,Price,Stock,Status,Featured,Image URL,Description,Tags,Created At,Updated At
PRD-0001,Aeron Executive Ergonomic Chair,Furniture,Herman Miller,HM-AER-EXE,1250.0,15,Active,Yes,https://images.unsplash.com/photo-1580480055273-228ff5388ef8?auto=format&fit=crop&w=900&q=80,"Premium ergonomic task chair with breathable mesh, posture support, and executive finish.","chair,ergonomic,office,premium",2026-05-01,2026-05-24
PRD-0002,Velocity 16 Pro Laptop,Electronics,Apex Systems,APX-V16-32,2499.0,28,Active,Yes,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?auto=format&fit=crop&w=900&q=80,"High-performance workstation laptop for design, development, analytics, and enterprise workloads.","laptop,workstation,computer,pro",2026-05-02,2026-05-23
PRD-0003,MX Master 3S Wireless Mouse,Accessories,Logitech,LOG-MX3S-BLK,99.99,120,Active,No,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?auto=format&fit=crop&w=900&q=80,Silent click productivity mouse with ergonomic grip and multi-device controls.,"mouse,wireless,accessory",2026-05-03,2026-05-22
PRD-0004,NoiseFocus ANC Headset,Electronics,Sony,SONY-NF-ANC,398.0,8,Active,Yes,https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb?auto=format&fit=crop&w=900&q=80,Enterprise-grade active noise cancelling headset for focused calls and travel.,"headset,audio,noise cancelling",2026-05-04,2026-05-21
PRD-0005,RisePro Standing Desk Converter,Furniture,FlexiDesk,FD-RISE-PRO,199.5,35,Active,No,https://images.unsplash.com/photo-1595514535313-09756b107cb5?auto=format&fit=crop&w=900&q=80,Adjustable sit-stand desk riser with smooth pneumatic lift and cable slots.,"desk,standing,furniture",2026-05-05,2026-05-20
PRD-0006,Smart Meeting Notebook Pack,Stationery,Moleskine,MOL-SMART-3,34.9,200,Active,No,https://images.unsplash.com/photo-1531346878377-244bb1c855a8?auto=format&fit=crop&w=900&q=80,"Premium notebooks for meeting notes, action items, sketches, and planning.","notebook,stationery,meeting",2026-05-06,2026-05-19
PRD-0007,UltraSharp 32 4K Monitor,Electronics,Dell,DEL-U32-4K,749.0,18,Active,Yes,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?auto=format&fit=crop&w=900&q=80,Color-accurate 32-inch 4K monitor for executive desks and creative teams.,"monitor,display,4k",2026-05-07,2026-05-18
PRD-0008,Executive Desk Organizer Set,Stationery,Nexus Office,NX-DESK-ORG,47.5,88,Active,No,https://images.unsplash.com/photo-1516321318423-f06f85e504b3?auto=format&fit=crop&w=900&q=80,Minimal metal-and-wood organizer set for clean executive workstations.,"organizer,desk,stationery",2026-05-08,2026-05-17
PRD-0009,Conference Room Camera 4K,Electronics,Logitech,LOG-MEET-4K,899.0,12,Active,Yes,https://images.unsplash.com/photo-1609921212029-bb5a28e60960?auto=format&fit=crop&w=900&q=80,Smart 4K conference camera with auto-framing and integrated room audio.,"camera,conference,meeting,4k",2026-05-09,2026-05-16
PRD-0010,Modular Collaboration Sofa,Furniture,WorkLounge,WL-SOFA-MOD,1399.0,6,Active,No,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=900&q=80,"Modular seating for breakout areas, visitor lounges, and collaborative spaces.","sofa,lounge,furniture",2026-05-10,2026-05-15
PRD-0011,Secure USB-C Docking Station,Networking,Anker,ANK-DOCK-11,219.0,55,Active,No,https://images.unsplash.com/photo-1625842268584-8f3296236761?auto=format&fit=crop&w=900&q=80,Multi-port USB-C dock with dual display support and enterprise charging.,"dock,usb-c,networking,accessory",2026-05-11,2026-05-14
PRD-0012,Enterprise Wi-Fi 7 Access Point,Networking,Ubiquiti,UBQ-WIFI7-AP,329.0,24,Active,Yes,https://images.unsplash.com/photo-1606765962248-7ff407b51667?auto=format&fit=crop&w=900&q=80,"High-density access point for offices, meeting zones, and campus networks.","wifi,networking,access point",2026-05-12,2026-05-13
PRD-0013,Privacy Screen 14-inch,Accessories,3M,3M-PRIV-14,39.0,96,Active,No,https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=900&q=80,"Laptop privacy filter for travel, shared desks, and confidential work.","privacy,screen,laptop,accessory",2026-05-13,2026-05-12
PRD-0014,AI Presentation Clicker,Accessories,Kensington,KEN-AI-CLICK,69.0,44,Active,No,https://images.unsplash.com/photo-1523726491678-bf852e717f6a?auto=format&fit=crop&w=900&q=80,"Wireless presenter with laser pointer, timer alerts, and USB-C receiver.","presenter,clicker,meeting",2026-05-14,2026-05-11
PRD-0015,Acoustic Focus Panel Kit,Workspace,SoundFrame,SF-PANEL-12,289.0,22,Active,Yes,https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=900&q=80,Premium acoustic wall panel kit for meeting rooms and open offices.,"acoustic,workspace,panel",2026-05-15,2026-05-10
PRD-0016,Air Quality Desk Sensor,Workspace,Kaiterra,KAI-AQ-DESK,159.0,31,Active,No,https://images.unsplash.com/photo-1581092921461-eab62e97a780?auto=format&fit=crop&w=900&q=80,"Compact indoor air quality monitor with CO2, temperature, and humidity tracking.","sensor,air quality,workspace",2026-05-16,2026-05-09
PRD-0017,Magnetic Whiteboard Pro,Stationery,Quartet,QRT-MAG-PRO,249.0,17,Active,No,https://images.unsplash.com/photo-1586281380349-632531db7ed4?auto=format&fit=crop&w=900&q=80,"Large magnetic glass board for planning, workshops, and agile ceremonies.","whiteboard,planning,stationery",2026-05-17,2026-05-08
PRD-0018,Secure Shredder 20-Sheet,Workspace,Fellowes,FEL-SHRED-20,299.0,9,Active,No,https://images.unsplash.com/photo-1586282391129-76a6df230234?auto=format&fit=crop&w=900&q=80,Cross-cut shredder for departments handling confidential documents.,"shredder,security,workspace",2026-05-18,2026-05-07
PRD-0019,Executive Laptop Backpack,Accessories,Targus,TAR-BAG-EXE,119.0,67,Active,Yes,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=900&q=80,Professional waterproof backpack with laptop protection and organizer pockets.,"bag,backpack,laptop,travel",2026-05-19,2026-05-06
PRD-0020,Premium Paper Ream Box,Stationery,Hammermill,HAM-PAPER-10,52.0,150,Active,No,https://images.unsplash.com/photo-1517697471339-4aa32003c11a?auto=format&fit=crop&w=900&q=80,Bright white multipurpose paper for office printing and documentation.,"paper,stationery,printing",2026-05-20,2026-05-05
PRD-0021,Hybrid Work Desk Lamp,Workspace,BenQ,BEN-LAMP-HYB,189.0,40,Active,No,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?auto=format&fit=crop&w=900&q=80,Auto-dimming desk lamp optimized for video calls and late work sessions.,"lamp,desk,lighting,workspace",2026-05-21,2026-05-04
PRD-0022,Compact Label Printer,Electronics,Brother,BRO-LABEL-CMP,149.0,30,Active,No,https://images.unsplash.com/photo-1607083206968-13611e3d76db?auto=format&fit=crop&w=900&q=80,"Fast label printer for assets, inventory, shipping, and office organization.","printer,label,inventory",2026-05-22,2026-05-03
PRD-0023,Ergo Keyboard Low Profile,Accessories,Keychron,KEY-ERGO-LP,129.0,51,Active,Yes,https://images.unsplash.com/photo-1587829741301-dc798b83add3?auto=format&fit=crop&w=900&q=80,Low-profile mechanical keyboard designed for long-form productivity.,"keyboard,mechanical,ergonomic",2026-05-23,2026-05-02
PRD-0024,Boardroom HDMI Matrix,Networking,Aten,ATN-HDMI-MX,429.0,11,Active,No,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?auto=format&fit=crop&w=900&q=80,"Reliable HDMI matrix switch for boardrooms, training rooms, and demo spaces.","hdmi,boardroom,networking,av",2026-05-24,2026-05-01
